student_id,teacher_id,rating,lesson_completed,timestamp
s0566,t0144,4.8,True,2024-11-08 17:28:27.966690
s0227,t0197,4.2,True,2025-02-14 17:28:27.997945
s0776,t0065,3.5,True,2025-03-09 17:28:28.013586
s0870,t0026,4.4,True,2025-01-05 17:28:28.050449
s0307,t0121,3.8,False,2025-01-11 17:28:28.068192
s0918,t0143,4.6,False,2024-12-24 17:28:28.082193
s0787,t0046,3.4,True,2025-04-23 17:28:28.085780
s0972,t0099,3.6,True,2025-06-06 17:28:28.101386
s0121,t0178,3.3,True,2025-04-25 17:28:28.117019
s0316,t0065,4.1,False,2025-02-04 17:28:28.132632
s0326,t0196,4.1,True,2025-01-17 17:28:28.148255
s0628,t0064,3.8,True,2025-07-24 17:28:28.163883
s0740,t0080,3.9,False,2025-07-28 17:28:28.179504
s0226,t0056,3.6,True,2025-08-02 17:28:28.195129
s0818,t0034,3.7,True,2025-08-29 17:28:28.226376
s0153,t0191,3.5,False,2025-06-12 17:28:28.242002
s0222,t0132,3.0,False,2025-05-08 17:28:28.257628
s0127,t0033,4.1,True,2025-05-04 17:28:28.273251
s0916,t0073,3.3,True,2025-07-20 17:28:28.288876
s0161,t0069,3.6,True,2025-07-19 17:28:28.304500
s0977,t0186,3.4,True,2025-09-13 17:28:28.320131
s0155,t0086,3.9,False,2025-01-18 17:28:28.335752
s0852,t0036,3.4,True,2025-04-26 17:28:28.367011
s0884,t0154,4.3,True,2025-03-28 17:28:28.382634
s0250,t0057,4.4,True,2025-04-11 17:28:28.398255
s0051,t0020,4.2,False,2025-09-01 17:28:28.413876
s0805,t0086,4.4,False,2025-04-17 17:28:28.429501
s0547,t0181,3.6,True,2025-09-03 17:28:28.445127
s0229,t0059,4.0,True,2025-03-08 17:28:28.467047
s0143,t0105,4.2,True,2025-01-16 17:28:28.482682
s0931,t0191,3.4,True,2024-12-06 17:28:28.498304
s0365,t0031,3.6,True,2025-08-18 17:28:28.513928
s0573,t0019,4.9,False,2025-03-15 17:28:28.529552
s0746,t0113,3.4,True,2025-02-13 17:28:28.545181
s0689,t0063,4.6,True,2024-11-13 17:28:28.560806
s0491,t0006,3.8,True,2025-09-06 17:28:28.576431
s0621,t0135,3.6,True,2024-10-19 17:28:28.592059
s0449,t0064,3.5,True,2025-02-05 17:28:28.623301
s0282,t0048,4.2,False,2025-05-01 17:28:28.638930
s0588,t0127,3.9,True,2025-02-07 17:28:28.654553
s0546,t0113,4.4,True,2025-08-17 17:28:28.670178
s0916,t0028,4.0,True,2025-07-31 17:28:28.685803
s0706,t0165,4.0,True,2025-09-07 17:28:28.701435
s0039,t0129,3.6,True,2024-12-14 17:28:28.717057
s0392,t0017,4.3,True,2025-06-26 17:28:28.763933
s0496,t0095,4.2,True,2024-12-29 17:28:28.779560
s0732,t0042,3.2,False,2025-06-01 17:28:28.810814
s0358,t0137,4.5,False,2025-03-24 17:28:28.842052
s0340,t0131,3.5,True,2025-03-24 17:28:28.857680
s0210,t0029,3.6,True,2025-02-26 17:28:28.873302
s0352,t0138,3.7,False,2025-01-01 17:28:28.904551
s0304,t0182,4.1,True,2025-04-13 17:28:28.935808
s0592,t0052,4.1,False,2025-04-18 17:28:28.951435
s0675,t0166,3.2,True,2025-07-26 17:28:28.967059
s0032,t0081,4.0,True,2025-07-29 17:28:28.982677
s0015,t0081,3.3,True,2024-11-21 17:28:29.018511
s0249,t0038,4.3,False,2025-08-20 17:28:29.049748
s0042,t0167,3.8,True,2024-10-26 17:28:29.072874
s0561,t0070,3.8,True,2025-07-21 17:28:29.088565
s0845,t0155,3.7,False,2025-07-20 17:28:29.098180
s0368,t0087,3.8,True,2025-01-23 17:28:29.113803
s0366,t0128,3.9,True,2024-10-19 17:28:29.129428
s0724,t0047,3.2,True,2025-05-17 17:28:29.145058
s0233,t0012,3.6,True,2025-05-18 17:28:29.160679
s0496,t0129,4.0,True,2024-09-18 17:28:29.176305
s0348,t0067,3.0,True,2024-10-28 17:28:29.191931
s0100,t0164,3.5,True,2024-10-08 17:28:29.207555
s0010,t0099,4.7,False,2024-12-11 17:28:29.223180
s0050,t0090,3.0,False,2024-09-29 17:28:29.238804
s0437,t0149,3.0,False,2025-09-08 17:28:29.254428
s0349,t0070,2.9,True,2025-06-06 17:28:29.285682
s0694,t0074,3.4,True,2025-01-19 17:28:29.301304
s0582,t0093,3.6,True,2024-12-02 17:28:29.316931
s0215,t0182,3.1,True,2025-04-27 17:28:29.332556
s0179,t0090,3.3,True,2025-07-10 17:28:29.348178
s0812,t0025,4.2,False,2025-01-30 17:28:29.363806
s0788,t0065,3.9,True,2025-07-03 17:28:29.379429
s0779,t0191,4.2,True,2025-04-03 17:28:29.395055
s0069,t0182,3.5,True,2025-04-12 17:28:29.410679
s0813,t0140,3.5,False,2025-04-14 17:28:29.426306
s0470,t0155,3.8,True,2025-07-31 17:28:29.441929
s0716,t0106,3.1,False,2024-11-06 17:28:29.457554
s0576,t0044,2.5,False,2024-11-27 17:28:29.473179
s0445,t0121,4.1,True,2025-07-14 17:28:29.488807
s0135,t0009,4.0,True,2025-02-11 17:28:29.504431
s0938,t0181,4.0,False,2025-06-01 17:28:29.516647
s0733,t0133,4.5,True,2025-08-12 17:28:29.532277
s0227,t0145,3.6,True,2025-09-08 17:28:29.547900
s0198,t0060,3.6,True,2024-09-23 17:28:29.563525
s0299,t0005,3.4,False,2025-09-06 17:28:29.579152
s0373,t0046,3.9,True,2025-03-14 17:28:29.594775
s0538,t0068,4.0,False,2025-01-05 17:28:29.610403
s0376,t0100,3.2,True,2025-06-27 17:28:29.626029
s0224,t0077,3.2,False,2025-04-04 17:28:29.641654
s0258,t0015,4.1,True,2025-03-16 17:28:29.657279
s0889,t0175,3.7,True,2024-09-14 17:28:29.672907
s0676,t0155,4.2,True,2024-12-20 17:28:29.704147
s0291,t0099,3.8,True,2025-04-12 17:28:29.719775
s0303,t0194,4.2,False,2025-01-05 17:28:29.735402
s0118,t0020,4.5,True,2025-02-18 17:28:29.751030
s0856,t0042,2.8,False,2025-01-28 17:28:29.766654
s0640,t0183,3.8,False,2025-01-22 17:28:29.782278
s0430,t0198,4.2,True,2025-03-23 17:28:29.797917
s0822,t0121,3.1,True,2025-01-05 17:28:29.813524
s0653,t0070,3.3,True,2024-11-24 17:28:29.829150
s0354,t0036,3.5,True,2024-12-31 17:28:29.844776
s0130,t0158,3.7,True,2024-10-25 17:28:29.860400
s0047,t0180,3.5,False,2025-07-08 17:28:29.876025
s0014,t0129,3.5,False,2025-09-07 17:28:29.891650
s0865,t0093,3.8,True,2025-04-22 17:28:29.922900
s0796,t0030,3.7,True,2025-06-27 17:28:29.922900
s0007,t0104,3.9,True,2025-03-30 17:28:29.954148
s0791,t0181,4.0,True,2024-09-22 17:28:29.969773
s0236,t0139,4.5,True,2025-07-21 17:28:29.985398
s0856,t0092,3.9,False,2024-12-04 17:28:30.001031
s0556,t0165,4.5,True,2025-03-22 17:28:30.016654
s0671,t0127,4.0,True,2025-04-12 17:28:30.032285
s0711,t0112,3.1,False,2025-02-20 17:28:30.071637
s0570,t0070,3.1,False,2024-11-02 17:28:30.088458
s0758,t0102,3.2,False,2024-11-24 17:28:30.098905
s0705,t0032,3.8,True,2025-07-21 17:28:30.114537
s0345,t0020,3.8,True,2024-11-01 17:28:30.130159
s0498,t0114,3.4,True,2025-04-26 17:28:30.145788
s0387,t0194,4.1,True,2025-02-23 17:28:30.161409
s0190,t0093,3.5,True,2024-11-22 17:28:30.177032
s0529,t0109,3.8,True,2025-04-23 17:28:30.192657
s0260,t0114,3.9,True,2024-12-19 17:28:30.208287
s0830,t0145,3.6,True,2024-10-20 17:28:30.223907
s0288,t0039,4.7,True,2025-06-19 17:28:30.239533
s0135,t0029,4.5,True,2025-01-17 17:28:30.255160
s0696,t0069,3.3,True,2025-01-17 17:28:30.270781
s0029,t0060,4.4,True,2025-07-09 17:28:30.286409
s0804,t0005,3.6,False,2025-03-05 17:28:30.302031
s0473,t0007,3.7,False,2024-11-02 17:28:30.317660
s0637,t0091,3.7,True,2025-06-27 17:28:30.333293
s0249,t0173,3.6,True,2025-08-06 17:28:30.348910
s0741,t0158,4.0,False,2025-08-02 17:28:30.364538
s0132,t0115,3.6,True,2025-05-15 17:28:30.380159
s0785,t0138,3.7,False,2025-08-08 17:28:30.411407
s0410,t0081,3.5,False,2025-07-08 17:28:30.427033
s0702,t0075,3.5,True,2025-05-08 17:28:30.442658
s0556,t0103,3.7,True,2025-02-12 17:28:30.458284
s0153,t0112,2.9,True,2025-05-04 17:28:30.473909
s0957,t0114,3.8,False,2025-02-08 17:28:30.489536
s0969,t0191,3.6,True,2024-12-30 17:28:30.505158
s0833,t0155,4.2,True,2025-04-19 17:28:30.520787
s0368,t0087,4.0,True,2025-05-10 17:28:30.536405
s0892,t0016,3.7,True,2024-12-30 17:28:30.552035
s0694,t0078,3.6,True,2024-11-02 17:28:30.567662
s0788,t0081,3.6,True,2024-09-15 17:28:30.583434
s0537,t0102,3.8,False,2024-11-18 17:28:30.599062
s0141,t0064,4.2,True,2024-11-18 17:28:30.614685
s0247,t0154,3.5,True,2025-08-07 17:28:30.630313
s0358,t0193,3.6,True,2024-11-13 17:28:30.645933
s0414,t0059,4.1,False,2025-03-21 17:28:30.661558
s0739,t0137,4.2,True,2025-03-23 17:28:30.677188
s0747,t0094,4.7,False,2024-09-21 17:28:30.692812
s0160,t0168,4.3,True,2025-06-08 17:28:30.708432
s0852,t0110,3.7,True,2025-03-27 17:28:30.724057
s0376,t0104,3.7,True,2025-07-27 17:28:30.739682
s0779,t0048,3.9,True,2025-07-04 17:28:30.755308
s0912,t0196,4.1,True,2024-10-18 17:28:30.786556
s0045,t0119,4.2,True,2025-04-08 17:28:30.802180
s0434,t0139,4.5,True,2024-11-24 17:28:30.802180
s0001,t0093,3.7,True,2025-09-08 17:28:30.817809
s0573,t0190,4.6,True,2025-02-12 17:28:30.833438
s0906,t0048,3.2,True,2025-07-15 17:28:30.864683
s0484,t0145,4.6,True,2024-10-12 17:28:30.864683
s0413,t0028,3.2,True,2025-05-05 17:28:30.895932
s0850,t0108,4.6,True,2024-10-02 17:28:30.911559
s0779,t0073,3.4,True,2025-02-21 17:28:30.927183
s0121,t0078,3.5,True,2024-12-10 17:28:30.942807
s0672,t0131,3.4,True,2025-04-08 17:28:30.958436
s0952,t0110,3.3,True,2025-08-02 17:28:30.974062
s0273,t0124,3.4,True,2024-11-18 17:28:30.989685
s0111,t0028,3.7,True,2024-10-05 17:28:31.005308
s0181,t0120,3.7,False,2024-10-16 17:28:31.036569
s0906,t0029,4.2,True,2025-02-05 17:28:31.052224
s0547,t0172,4.0,True,2025-04-13 17:28:31.067821
s0125,t0138,3.4,False,2025-07-02 17:28:31.092103
s0619,t0140,3.7,True,2024-10-14 17:28:31.107871
s0441,t0051,4.9,True,2025-06-13 17:28:31.118058
s0191,t0150,3.7,True,2025-01-11 17:28:31.133688
s0567,t0161,4.1,False,2024-11-16 17:28:31.149305
s0298,t0053,3.2,False,2025-07-12 17:28:31.164937
s0202,t0018,3.5,True,2025-02-20 17:28:31.180558
s0727,t0081,3.3,True,2024-12-03 17:28:31.196185
s0782,t0106,3.5,True,2024-12-08 17:28:31.211805
s0996,t0147,3.5,True,2025-02-28 17:28:31.227436
s0926,t0116,4.2,False,2025-04-05 17:28:31.243056
s0081,t0077,3.0,True,2025-03-21 17:28:31.258683
s0573,t0111,3.8,True,2024-12-10 17:28:31.274310
s0287,t0076,3.6,True,2025-08-26 17:28:31.289931
s0411,t0147,4.2,True,2025-01-13 17:28:31.321181
s0827,t0009,3.9,False,2025-06-23 17:28:31.336809
s0893,t0073,3.5,True,2025-09-13 17:28:31.352431
s0282,t0073,3.1,False,2025-07-31 17:28:31.368057
s0104,t0005,4.2,True,2025-03-21 17:28:31.383689
s0987,t0199,3.7,True,2024-11-13 17:28:31.399312
s0831,t0132,3.4,False,2024-10-26 17:28:31.414934
