id,subjects,learning_style,availability,location_preference,budget_min,budget_max,experience_level,age,preferred_teacher_gender
s0001,"music,art,geography,french",kinesthetic,afternoon,online,18,36,beginner,17,any
s0002,"philosophy,music,english",kinesthetic,morning,both,22,52,intermediate,19,
s0003,"history,chemistry,music",visual,evening,both,26,41,intermediate,22,any
s0004,"history,literature",auditory,"evening,morning",in_person,30,48,advanced,30,any
s0005,"history,spanish,economics",kinesthetic,weekend,in_person,31,56,advanced,19,female
s0006,"english,geography",auditory,afternoon,both,30,47,advanced,40,
s0007,"history,chemistry,french",reading,"weekend,afternoon",in_person,26,49,beginner,24,female
s0008,"english,biology,french,chemistry",visual,"weekend,afternoon",in_person,23,41,beginner,20,any
s0009,computer_science,auditory,"morning,afternoon",in_person,25,46,intermediate,20,any
s0010,english,visual,weekend,in_person,27,44,advanced,28,
s0011,"music,mathematics",reading,"evening,morning",in_person,24,46,intermediate,27,female
s0012,"biology,art,physics",kinesthetic,"weekend,evening,morning",online,15,30,advanced,16,male
s0013,"history,computer_science",visual,"morning,afternoon",online,24,48,intermediate,16,any
s0014,"history,geography,chemistry",kinesthetic,"evening,afternoon",in_person,22,38,beginner,29,male
s0015,"music,biology,history,computer_science",reading,"morning,weekend,afternoon",in_person,24,39,intermediate,43,any
s0016,"mathematics,music,philosophy",kinesthetic,"weekend,evening,afternoon",both,28,50,beginner,44,any
s0017,geography,auditory,morning,in_person,28,51,beginner,45,female
s0018,"physics,geography",kinesthetic,"afternoon,morning,evening",in_person,25,54,intermediate,16,male
s0019,"physics,mathematics,philosophy,biology",auditory,afternoon,both,29,52,advanced,26,male
s0020,"french,english,spanish",auditory,"evening,morning",in_person,34,61,beginner,18,male
s0021,"spanish,english,mathematics",reading,"weekend,evening",both,28,55,advanced,18,male
s0022,literature,kinesthetic,weekend,both,20,36,beginner,29,any
s0023,"chemistry,literature,philosophy",reading,"afternoon,morning",online,23,47,intermediate,36,any
s0024,"economics,literature,computer_science",visual,afternoon,both,22,38,intermediate,16,any
s0025,"economics,french,computer_science,spanish",auditory,"evening,weekend",online,24,38,advanced,37,female
s0026,geography,reading,morning,in_person,33,54,beginner,27,any
s0027,"geography,computer_science",auditory,evening,both,23,46,intermediate,18,any
s0028,physics,auditory,"afternoon,weekend",in_person,27,46,beginner,19,any
s0029,geography,kinesthetic,"afternoon,morning,weekend",in_person,29,44,advanced,31,
s0030,"chemistry,english,physics",reading,"morning,evening",online,21,41,advanced,20,
s0031,"philosophy,spanish,physics",visual,"morning,evening",in_person,28,57,beginner,22,female
s0032,"biology,spanish",visual,"weekend,morning,afternoon",in_person,26,49,intermediate,45,female
s0033,"chemistry,music,mathematics,computer_science",reading,"weekend,morning,afternoon",in_person,24,47,beginner,32,
s0034,"french,geography,philosophy,physics",kinesthetic,"afternoon,weekend,morning",online,24,41,advanced,17,any
s0035,literature,reading,"weekend,morning,evening",in_person,21,42,beginner,23,
s0036,"history,spanish,physics,philosophy",visual,morning,in_person,23,46,advanced,19,any
s0037,"music,physics",auditory,afternoon,both,24,50,intermediate,23,any
s0038,"english,history,spanish",visual,"afternoon,weekend",in_person,29,58,intermediate,35,
s0039,economics,visual,"evening,morning,afternoon",in_person,30,53,advanced,19,any
s0040,"chemistry,art,philosophy,history",visual,afternoon,in_person,28,43,advanced,27,
s0041,"chemistry,art,mathematics",visual,"morning,afternoon,evening",in_person,34,58,intermediate,27,female
s0042,"spanish,computer_science",kinesthetic,afternoon,both,22,46,beginner,32,female
s0043,"physics,chemistry,art",reading,morning,online,16,33,advanced,27,
s0044,"art,literature,french",reading,"afternoon,morning",online,23,45,intermediate,27,female
s0045,"spanish,literature",auditory,"weekend,evening,morning",both,29,51,beginner,29,male
s0046,"music,biology,spanish",reading,weekend,in_person,31,48,advanced,45,male
