id,subjects,teaching_style,availability,location_preference,hourly_rate,experience_years,rating,total_students,specializations,gender,languages
t0001,"biology,mathematics",structured,"afternoon,weekend,evening",both,59.37,20,4.8,103,algebra,male,"english,french,german"
t0002,"french,biology",visual,"weekend,morning,afternoon,evening",online,42.57,10,3.9,55,french,female,"german,french,english"
t0003,"music,french",structured,"morning,evening,afternoon,weekend",both,36.38,14,4.4,79,music,male,"mandarin,spanish,french"
t0004,biology,interactive,"afternoon,evening,weekend",online,42.2,10,3.9,38,biology,female,"german,mandarin,spanish"
t0005,"computer_science,spanish,chemistry",visual,"evening,morning,weekend",online,40.59,5,3.9,38,computer_science,female,french
t0006,history,visual,"weekend,evening,afternoon,morning",online,45.01,11,4.5,51,history,male,"german,english,mandarin"
t0007,"french,biology",discussion,"morning,evening,weekend",both,28.89,3,3.6,16,french,female,"english,spanish,german"
t0008,"history,geography,music",discussion,"morning,evening",online,27.09,5,3.9,31,history,female,"mandarin,spanish,german"
t0009,"computer_science,geography,philosophy",interactive,"weekend,morning,evening",both,46.1,16,4.4,85,computer_science,non_binary,mandarin
t0010,computer_science,visual,"afternoon,weekend",online,48.9,15,4.5,71,computer_science,male,"german,arabic"
t0011,"physics,music",structured,"afternoon,evening",online,54.83,16,4.7,84,"mechanics,thermodynamics",non_binary,french
t0012,history,visual,"evening,afternoon,morning",in_person,41.94,16,4.4,85,history,male,german
t0013,english,structured,"evening,afternoon",in_person,48.1,18,4.4,94,creative_writing,non_binary,spanish
t0014,physics,structured,"weekend,morning",both,43.65,15,4.5,70,"quantum_physics,mechanics",female,"german,french"
t0015,"music,chemistry",structured,"evening,weekend,afternoon,morning",in_person,42.02,12,4.4,66,music,male,"arabic,english"
t0016,"english,physics,french",structured,"morning,evening",online,51.86,12,4.0,59,"creative_writing,grammar,mechanics",non_binary,"spanish,mandarin,german"
t0017,"french,physics,computer_science",discussion,"evening,morning,weekend",online,35.41,4,4.0,35,thermodynamics,non_binary,"german,english,mandarin"
t0018,"geography,french",structured,"afternoon,weekend",in_person,26.93,4,3.6,19,geography,non_binary,french
t0019,"computer_science,french",interactive,"morning,evening,weekend",both,53.73,18,4.8,91,computer_science,non_binary,"spanish,mandarin,german"
t0020,"mathematics,french,computer_science",interactive,"morning,afternoon,weekend",both,39.74,13,4.6,77,algebra,non_binary,"arabic,spanish,german"
t0021,"french,english",interactive,"weekend,evening,morning,afternoon",both,39.2,9,4.1,48,"creative_writing,grammar",male,arabic
t0022,economics,structured,"weekend,evening,morning,afternoon",online,59.58,20,4.5,92,economics,female,"arabic,english,french"
t0023,computer_science,interactive,"evening,afternoon,morning,weekend",online,56.36,16,4.8,94,computer_science,non_binary,"spanish,english,german"
t0024,literature,interactive,"evening,morning,afternoon,weekend",in_person,30.79,2,3.6,17,literature,male,"english,german"
t0025,"geography,art,literature",visual,"morning,weekend,afternoon",online,43.64,17,4.4,88,geography,male,english
t0026,"history,spanish,chemistry",hands_on,"afternoon,weekend,evening",both,48.34,20,5.0,113,history,female,"english,mandarin,spanish"
t0027,"french,geography",discussion,"morning,evening",both,54.6,18,4.5,96,french,male,english
t0028,english,hands_on,"weekend,morning,afternoon,evening",online,25.82,4,3.8,19,literature,non_binary,"mandarin,arabic,french"
t0029,"philosophy,chemistry",hands_on,"weekend,morning,afternoon,evening",online,29.5,5,4.1,38,philosophy,non_binary,french
t0030,"mathematics,music",structured,"morning,weekend,evening",both,40.88,5,3.9,23,"algebra,geometry",male,"mandarin,english"
t0031,spanish,discussion,"morning,evening",in_person,30.64,5,4.0,31,spanish,non_binary,english
t0032,"literature,economics",visual,"afternoon,weekend,morning",both,38.43,13,4.3,61,literature,non_binary,"spanish,mandarin"
t0033,"chemistry,computer_science",discussion,"morning,evening,afternoon,weekend",in_person,37.11,8,4.2,47,chemistry,female,"mandarin,german,spanish"
t0034,"english,french",discussion,"morning,evening,weekend",online,39.67,8,3.8,40,creative_writing,male,"french,arabic,german"
t0035,"geography,english",hands_on,"morning,weekend",online,51.57,19,4.7,90,"literature,grammar",non_binary,arabic
t0036,"computer_science,spanish,biology",hands_on,"evening,morning",both,32.51,6,4.0,29,computer_science,non_binary,french
t0037,economics,discussion,"morning,afternoon,evening,weekend",in_person,40.54,17,4.6,95,economics,male,"mandarin,german"
t0038,"physics,geography",interactive,"weekend,afternoon,evening,morning",in_person,47.49,16,4.7,86,mechanics,male,"german,french"
t0039,philosophy,visual,"morning,evening",both,38.75,15,4.5,82,philosophy,non_binary,"german,arabic"
t0040,biology,structured,"weekend,evening,morning,afternoon",online,40.53,8,3.8,42,biology,non_binary,"german,mandarin"
t0041,biology,interactive,"morning,weekend,afternoon,evening",both,48.54,14,4.3,68,biology,female,"french,arabic,english"
t0042,"english,chemistry,mathematics",discussion,"morning,afternoon",both,34.08,3,3.6,30,"grammar,statistics",non_binary,spanish
t0043,"history,geography",visual,"evening,afternoon,weekend,morning",online,40.38,8,3.8,34,history,non_binary,"arabic,french"
t0044,"french,physics",hands_on,"morning,weekend,afternoon",both,32.51,3,3.4,13,"mechanics,quantum_physics",male,"arabic,german"
t0045,"literature,computer_science,french",structured,"afternoon,evening",in_person,58.99,17,4.7,94,literature,male,"spanish,german"
t0046,"geography,biology",hands_on,"evening,morning,afternoon",online,31.18,8,4.0,31,geography,female,"spanish,mandarin,german"
t0047,"mathematics,economics,spanish",interactive,"weekend,morning,evening,afternoon",in_person,25.08,1,3.5,22,calculus,male,"german,mandarin,arabic"
t0048,philosophy,structured,"afternoon,morning",both,35.53,6,4.0,31,philosophy,male,"german,spanish,french"
t0049,economics,visual,"weekend,morning,afternoon",online,43.57,14,4.3,78,economics,female,"arabic,french"
t0050,"literature,music,physics",interactive,"afternoon,morning",online,29.54,4,3.7,22,"mechanics,thermodynamics",non_binary,english
t0051,"philosophy,chemistry,spanish",structured,"weekend,morning,evening,afternoon",both,38.24,14,4.5,75,philosophy,male,french
t0052,"spanish,mathematics",structured,"evening,morning",both,42.6,14,4.4,75,"geometry,calculus",male,"spanish,arabic"
t0053,biology,hands_on,"morning,afternoon,weekend,evening",in_person,27.85,6,3.9,33,biology,male,"french,arabic,spanish"
t0054,"literature,art",structured,"morning,afternoon",in_person,26.4,1,3.5,7,literature,female,"english,arabic"
t0055,economics,visual,"morning,weekend,afternoon",in_person,46.09,19,4.9,97,economics,non_binary,"french,arabic,spanish"
